Location,Year,Number,Population,Rate
Waite,2015,0,101,0.0
Waite,2016,0,98,0.0
Waite,2017,0,98,0.0
Waite,2018,0,98,0.0
Waldo,2009,0,828,0.0
Waldo,2011,0,783,0.0
Waldo,2013,0,756,0.0
Waldo,2014,0,806,0.0
Waldo,2015,0,789,0.0
Wales,2008,0,"1,492",0.0
Wales,2010,0,"1,616",0.0
Wales,2018,0,"1,659",0.0
Wallagrass,2014,0,568,0.0
Wallagrass,2016,0,570,0.0
Wallagrass,2017,0,570,0.0
Waltham,2008,0,332,0.0
Waltham,2009,0,347,0.0
Waltham,2010,0,353,0.0
Waltham,2011,0,361,0.0
Waltham,2012,0,360,0.0
Waltham,2013,0,357,0.0
Waltham,2015,0,359,0.0
Waltham,2016,0,362,0.0
Waltham,2017,0,362,0.0
Waltham,2018,0,362,0.0
Washburn,2014,0,"1,624",0.0
Washburn,2016,0,"1,601",0.0
Washburn,2017,0,"1,601",0.0
Washburn,2018,0,"1,601",0.0
Waterford,2008,0,"1,506",0.0
Waterford,2009,0,"1,549",0.0
Waterford,2010,0,"1,553",0.0
Waterford,2011,0,"1,572",0.0
Waterford,2016,0,"1,548",0.0
Waterville,2009,0,"15,793",0.0
Webster Plt,2008,0,81,0.0
Webster Plt,2010,0,85,0.0
Webster Plt,2011,0,87,0.0
Webster Plt,2012,0,86,0.0
Webster Plt,2013,0,84,0.0
Webster Plt,2014,0,84,0.0
Webster Plt,2015,0,82,0.0
Webster Plt,2016,0,81,0.0
Webster Plt,2017,0,81,0.0
Webster Plt,2018,0,81,0.0
Weld,2008,0,379,0.0
Weld,2010,0,419,0.0
Weld,2011,0,420,0.0
Weld,2012,0,417,0.0
Weld,2013,0,412,0.0
Weld,2014,0,408,0.0
Weld,2015,0,402,0.0
Weld,2016,0,399,0.0
Weld,2018,0,399,0.0
Wellington,2016,0,247,0.0
Wellington,2017,0,247,0.0
Wellington,2018,0,247,0.0
Wesley,2009,0,102,0.0
Wesley,2011,0,100,0.0
Wesley,2012,0,97,0.0
Wesley,2013,0,96,0.0
Wesley,2014,0,95,0.0
Wesley,2015,0,94,0.0
Wesley,2016,0,91,0.0
Wesley,2017,0,91,0.0
Wesley,2018,0,91,0.0
West Bath,2010,0,"1,877",0.0
West Bath,2011,0,"1,876",0.0
West Bath,2013,0,"1,870",0.0
West Forks Plt,2009,0,53,0.0
West Forks Plt,2010,0,60,0.0
West Forks Plt,2011,0,61,0.0
West Forks Plt,2012,0,60,0.0
West Forks Plt,2013,0,60,0.0
West Forks Plt,2014,0,61,0.0
West Forks Plt,2015,0,57,0.0
West Forks Plt,2016,0,57,0.0
West Forks Plt,2017,0,57,0.0
West Forks Plt,2018,0,57,0.0
West Paris,2008,0,"1,630",0.0
West Paris,2009,0,"1,753",0.0
West Paris,2010,0,"1,812",0.0
West Paris,2012,0,"1,785",0.0
West Paris,2013,0,"1,782",0.0
West Paris,2015,0,"1,769",0.0
West Paris,2017,0,"1,764",0.0
Westfield,2014,0,523,0.0
Westfield,2016,0,513,0.0
Westfield,2018,0,513,0.0
Westmanland,2014,0,62,0.0
Westmanland,2016,0,61,0.0
Westmanland,2017,0,61,0.0
Westmanland,2018,0,61,0.0
Weston,2014,0,214,0.0
Weston,2016,0,208,0.0
Weston,2017,0,208,0.0
Weston,2018,0,208,0.0
Westport Island,2008,0,769,0.0
Westport Island,2010,0,718,0.0
Westport Island,2012,0,709,0.0
Westport Island,2018,0,710,0.0
Whiting,2009,0,481,0.0
Whiting,2011,0,480,0.0
Whiting,2012,0,480,0.0
Whiting,2013,0,478,0.0
Whiting,2014,0,477,0.0
Whiting,2015,0,460,0.0
Whitneyville,2009,0,223,0.0
Whitneyville,2011,0,223,0.0
Whitneyville,2012,0,224,0.0
Whitneyville,2013,0,221,0.0
Whitneyville,2014,0,227,0.0
Whitneyville,2015,0,217,0.0
Whitneyville,2016,0,219,0.0
Whitneyville,2017,0,219,0.0
Whitneyville,2018,0,219,0.0
Willimantic,2016,0,145,0.0
Willimantic,2017,0,145,0.0
Willimantic,2018,0,145,0.0
Wilton,2008,0,"4,004",0.0
Wilton,2011,0,"4,101",0.0
Wilton,2013,0,"4,066",0.0
Wilton,2016,0,"4,015",0.0
Wilton,2018,0,"4,015",0.0
Winn,2008,0,412,0.0
Winn,2010,0,407,0.0
Winn,2011,0,415,0.0
Winn,2012,0,411,0.0
Winn,2013,0,401,0.0
Winn,2014,0,400,0.0
Winn,2015,0,391,0.0
Winn,2016,0,387,0.0
Winn,2017,0,387,0.0
Winn,2018,0,387,0.0
Winter Harbor,2008,0,964,0.0
Winter Harbor,2009,0,715,0.0
Winter Harbor,2010,0,516,0.0
Winter Harbor,2011,0,521,0.0
Winter Harbor,2012,0,511,0.0
Winter Harbor,2013,0,511,0.0
Winter Harbor,2014,0,510,0.0
Winter Harbor,2015,0,500,0.0
Winter Harbor,2017,0,500,0.0
Winter Harbor,2018,0,500,0.0
Winterport,2008,0,"3,544",0.0
Winterport,2009,0,"3,679",0.0
Winterport,2011,0,"3,736",0.0
Winterport,2013,0,"3,787",0.0
Winterport,2016,0,"3,851",0.0
Winterport,2018,0,"3,851",0.0
Winterville Plt,2014,0,223,0.0
Winterville Plt,2016,0,227,0.0
Winterville Plt,2018,0,227,0.0
Woodland,2014,0,"1,186",0.0
Woodland,2016,0,"1,170",0.0
Woodland,2017,0,"1,170",0.0
Woodland,2018,0,"1,170",0.0
Woodstock,2008,0,"1,382",0.0
Woodstock,2010,0,"1,277",0.0
Woodstock,2011,0,"1,297",0.0
Woodstock,2012,0,"1,279",0.0
Woodstock,2014,0,"1,290",0.0
Woodstock,2015,0,"1,282",0.0
Woodstock,2016,0,"1,277",0.0
Woodville,2008,0,281,0.0
Woodville,2010,0,248,0.0
Woodville,2011,0,252,0.0
Woodville,2012,0,253,0.0
Woodville,2013,0,251,0.0
Woodville,2014,0,253,0.0
Woodville,2015,0,247,0.0
Woodville,2016,0,248,0.0
Woodville,2017,0,248,0.0
Woodville,2018,0,248,0.0
Wyman Twp,2008,0,76,0.0
Wyman Twp,2009,0,84,0.0
Wyman Twp,2010,0,88,0.0
Wyman Twp,2011,0,88,0.0
Wyman Twp,2012,0,86,0.0
Wyman Twp,2013,0,86,0.0
Wyman Twp,2014,0,87,0.0
Wyman Twp,2015,0,86,0.0
Wyman Twp,2016,0,87,0.0
Wyman Twp,2017,0,87,0.0
Wyman Twp,2018,0,87,0.0
Abbot,2008,NR,614,NR
Abbot,2009,NR,676,NR
Abbot,2010,NR,714,NR
Abbot,2011,NR,713,NR
Abbot,2012,NR,713,NR
Abbot,2013,NR,708,NR
Abbot,2014,NR,708,NR
Abbot,2015,NR,701,NR
Addison,2008,NR,"1,218",NR
Addison,2010,NR,"1,266",NR
Addison,2014,NR,"1,227",NR
Alexander,2008,NR,505,NR
Alexander,2010,NR,499,NR
Allagash,2008,NR,272,NR
Allagash,2009,NR,254,NR
Allagash,2010,NR,239,NR
Allagash,2011,NR,244,NR
Allagash,2012,NR,239,NR
Allagash,2013,NR,234,NR
Allagash,2015,NR,225,NR
Alton,2009,NR,878,NR
Amity,2008,NR,219,NR
Amity,2009,NR,231,NR
Amity,2010,NR,238,NR
Amity,2011,NR,238,NR
Amity,2012,NR,232,NR
Amity,2013,NR,226,NR
Amity,2015,NR,224,NR
Argyle Twp,2009,NR,270,NR
Ashland,2008,NR,"1,445",NR
Ashland,2009,NR,"1,371",NR
Ashland,2010,NR,"1,302",NR
Ashland,2011,NR,"1,272",NR
Ashland,2012,NR,"1,276",NR
Ashland,2013,NR,"1,262",NR
Ashland,2015,NR,"1,245",NR
Atkinson,2008,NR,328,NR
Atkinson,2009,NR,329,NR
Atkinson,2010,NR,326,NR
Atkinson,2011,NR,327,NR
Atkinson,2012,NR,325,NR
Atkinson,2013,NR,318,NR
Atkinson,2014,NR,316,NR
Atkinson,2015,NR,311,NR
Baileyville,2008,NR,"1,558",NR
Baileyville,2010,NR,"1,521",NR
Bancroft Twp,2008,NR,61,NR
Bancroft Twp,2009,NR,65,NR
Bancroft Twp,2010,NR,68,NR
Bancroft Twp,2011,NR,70,NR
Bancroft Twp,2012,NR,66,NR
Bancroft Twp,2013,NR,64,NR
Bancroft Twp,2015,NR,63,NR
Bangor,2009,NR,"32,840",NR
Baring Plt,2008,NR,260,NR
Baring Plt,2010,NR,251,NR
Beals,2008,NR,639,NR
Beals,2010,NR,508,NR
Beaver Cove,2008,NR,84,NR
Beaver Cove,2009,NR,107,NR
Beaver Cove,2010,NR,122,NR
Beaver Cove,2011,NR,122,NR
Beaver Cove,2012,NR,121,NR
Beaver Cove,2013,NR,120,NR
Beaver Cove,2014,NR,121,NR
Beaver Cove,2015,NR,119,NR
Beddington,2008,NR,28,NR
Beddington,2009,NR,41,NR
Beddington,2010,NR,50,NR
Beddington,2013,NR,48,NR
Beddington,2014,NR,47,NR
Beddington,2015,NR,46,NR
Beddington,2016,NR,46,NR
Beddington,2017,NR,46,NR
Beddington,2018,NR,46,NR
Blaine,2008,NR,855,NR
Blaine,2009,NR,785,NR
Blaine,2010,NR,726,NR
Blaine,2011,NR,732,NR
Blaine,2012,NR,720,NR
Blaine,2013,NR,706,NR
Blaine,2015,NR,707,NR
Blanchard Twp,2008,NR,84,NR
Blanchard Twp,2009,NR,93,NR
Blanchard Twp,2010,NR,98,NR
Blanchard Twp,2011,NR,97,NR
Blanchard Twp,2012,NR,95,NR
Blanchard Twp,2013,NR,96,NR
Blanchard Twp,2014,NR,95,NR
Blanchard Twp,2015,NR,94,NR
Bowerbank,2008,NR,144,NR
Bowerbank,2009,NR,129,NR
Bowerbank,2010,NR,116,NR
Bowerbank,2011,NR,114,NR
Bowerbank,2012,NR,114,NR
Bowerbank,2013,NR,113,NR
Bowerbank,2014,NR,114,NR
Bowerbank,2015,NR,111,NR
Bradford,2009,NR,"1,309",NR
Bradley,2009,NR,"1,429",NR
Brewer,2009,NR,"9,452",NR
Bridgewater,2008,NR,610,NR
Bridgewater,2009,NR,613,NR
Bridgewater,2010,NR,610,NR
Bridgewater,2011,NR,614,NR
Bridgewater,2012,NR,607,NR
Bridgewater,2013,NR,594,NR
Bridgewater,2015,NR,590,NR
Brownville,2008,NR,"1,228",NR
Brownville,2009,NR,"1,250",NR
Brownville,2010,NR,"1,250",NR
Brownville,2011,NR,"1,264",NR
Brownville,2012,NR,"1,244",NR
Brownville,2013,NR,"1,224",NR
Brownville,2014,NR,"1,222",NR
Brownville,2015,NR,"1,208",NR
Burlington,2009,NR,371,NR
Calais,2008,NR,"3,149",NR
Calais,2010,NR,"3,123",NR
Caribou,2008,NR,"8,049",NR
Caribou,2009,NR,"8,177",NR
Caribou,2010,NR,"8,189",NR
Caribou,2011,NR,"8,016",NR
Caribou,2012,NR,"7,954",NR
Caribou,2013,NR,"7,856",NR
Caribou,2015,NR,"7,754",NR
Carmel,2009,NR,"2,775",NR
Carroll Plt,2009,NR,149,NR
Cary Plt,2008,NR,200,NR
Cary Plt,2009,NR,211,NR
Cary Plt,2010,NR,218,NR
Cary Plt,2011,NR,223,NR
Cary Plt,2012,NR,216,NR
Cary Plt,2013,NR,214,NR
Cary Plt,2015,NR,205,NR
Castle Hill,2008,NR,434,NR
Castle Hill,2009,NR,431,NR
Castle Hill,2010,NR,425,NR
Castle Hill,2011,NR,416,NR
Castle Hill,2012,NR,411,NR
Castle Hill,2013,NR,403,NR
Castle Hill,2015,NR,398,NR
Caswell,2008,NR,314,NR
Caswell,2009,NR,311,NR
Caswell,2010,NR,306,NR
Caswell,2011,NR,300,NR
Caswell,2012,NR,303,NR
Caswell,2013,NR,301,NR
Caswell,2015,NR,295,NR
Central Aroostook,2008,NR,94,NR
Central Aroostook,2009,NR,109,NR
Central Aroostook,2010,NR,118,NR
Central Aroostook,2011,NR,119,NR
Central Aroostook,2012,NR,117,NR
Central Aroostook,2013,NR,114,NR
Central Aroostook,2015,NR,112,NR
Chapman,2008,NR,500,NR
Chapman,2009,NR,485,NR
Chapman,2010,NR,468,NR
Chapman,2011,NR,473,NR
Chapman,2012,NR,464,NR
Chapman,2013,NR,458,NR
Chapman,2015,NR,466,NR
Charleston,2009,NR,"1,435",NR
Charlotte,2008,NR,309,NR
Charlotte,2010,NR,332,NR
Cherryfield,2008,NR,"1,121",NR
Cherryfield,2010,NR,"1,232",NR
Chester,2009,NR,537,NR
Clifton,2009,NR,873,NR
Codyville Plt,2008,NR,17,NR
Codyville Plt,2009,NR,21,NR
Codyville Plt,2010,NR,24,NR
Codyville Plt,2011,NR,23,NR
Codyville Plt,2012,NR,23,NR
Codyville Plt,2013,NR,23,NR
Codyville Plt,2014,NR,23,NR
Codyville Plt,2015,NR,23,NR
Codyville Plt,2016,NR,23,NR
Codyville Plt,2017,NR,23,NR
Codyville Plt,2018,NR,23,NR
Columbia,2008,NR,503,NR
Columbia,2010,NR,486,NR
Columbia Falls,2008,NR,639,NR
Columbia Falls,2010,NR,560,NR
Connor Twp,2008,NR,424,NR
Connor Twp,2009,NR,446,NR
Connor Twp,2010,NR,457,NR
Connor Twp,2011,NR,447,NR
Connor Twp,2012,NR,448,NR
Connor Twp,2013,NR,448,NR
Connor Twp,2015,NR,444,NR
Cooper,2008,NR,134,NR
Cooper,2010,NR,154,NR
Corinna,2009,NR,"2,258",NR
Corinth,2009,NR,"2,913",NR
Crawford,2008,NR,98,NR
Crawford,2010,NR,105,NR
Criehaven Twp,2008,NR,0,NR
Criehaven Twp,2009,NR,1,NR
Criehaven Twp,2010,NR,1,NR
Criehaven Twp,2011,NR,1,NR
Criehaven Twp,2012,NR,1,NR
Criehaven Twp,2013,NR,1,NR
Criehaven Twp,2014,NR,1,NR
Criehaven Twp,2015,NR,1,NR
Criehaven Twp,2016,NR,1,NR
Criehaven Twp,2017,NR,1,NR
Criehaven Twp,2018,NR,1,NR
Crystal,2008,NR,259,NR
Crystal,2009,NR,267,NR
Crystal,2010,NR,269,NR
Crystal,2011,NR,273,NR
Crystal,2012,NR,265,NR
Crystal,2013,NR,258,NR
Crystal,2015,NR,255,NR
Cutler,2008,NR,611,NR
Cutler,2010,NR,507,NR
Cyr Plt,2008,NR,112,NR
Cyr Plt,2009,NR,108,NR
Cyr Plt,2010,NR,103,NR
Cyr Plt,2011,NR,100,NR
Cyr Plt,2012,NR,101,NR
Cyr Plt,2013,NR,102,NR
Cyr Plt,2015,NR,101,NR
Danforth,2008,NR,570,NR
Danforth,2010,NR,589,NR
Dayton,2014,NR,"2,017",NR
Deblois,2008,NR,46,NR
Deblois,2010,NR,57,NR
Dennistown Plt,2008,NR,31,NR
Dennistown Plt,2009,NR,32,NR
Dennistown Plt,2010,NR,33,NR
Dennistown Plt,2011,NR,35,NR
Dennistown Plt,2012,NR,34,NR
Dennistown Plt,2013,NR,34,NR
Dennistown Plt,2014,NR,36,NR
Dennistown Plt,2015,NR,37,NR
Dennistown Plt,2016,NR,37,NR
Dennistown Plt,2017,NR,37,NR
Dennistown Plt,2018,NR,37,NR
Dennysville,2008,NR,310,NR
Dennysville,2010,NR,342,NR
Dexter,2009,NR,"3,860",NR
Dixmont,2009,NR,"1,200",NR
Dover-Foxcroft,2008,NR,"4,124",NR
Dover-Foxcroft,2009,NR,"4,206",NR
Dover-Foxcroft,2010,NR,"4,213",NR
Dover-Foxcroft,2011,NR,"4,115",NR
Dover-Foxcroft,2012,NR,"4,109",NR
Dover-Foxcroft,2013,NR,"4,084",NR
Dover-Foxcroft,2014,NR,"4,045",NR
Dover-Foxcroft,2015,NR,"4,026",NR
Drew Plt,2009,NR,52,NR
Drew Plt,2010,NR,46,NR
Drew Plt,2011,NR,48,NR
Drew Plt,2012,NR,48,NR
Drew Plt,2013,NR,46,NR
Drew Plt,2014,NR,46,NR
Drew Plt,2015,NR,44,NR
Drew Plt,2016,NR,44,NR
Drew Plt,2017,NR,44,NR
Drew Plt,2018,NR,44,NR
Dyer Brook,2008,NR,186,NR
Dyer Brook,2009,NR,202,NR
Dyer Brook,2010,NR,213,NR
Dyer Brook,2011,NR,220,NR
Dyer Brook,2012,NR,216,NR
Dyer Brook,2013,NR,212,NR
Dyer Brook,2015,NR,211,NR
Eagle Lake,2008,NR,801,NR
Eagle Lake,2009,NR,842,NR
Eagle Lake,2010,NR,864,NR
Eagle Lake,2011,NR,878,NR
Eagle Lake,2012,NR,873,NR
Eagle Lake,2013,NR,845,NR
Eagle Lake,2015,NR,803,NR
East Central Penobscot,2009,NR,344,NR
East Central Washington,2008,NR,688,NR
East Central Washington,2010,NR,728,NR
East Machias,2008,NR,"1,179",NR
East Machias,2010,NR,"1,368",NR
East Millinocket,2009,NR,"1,746",NR
Easton,2008,NR,"1,209",NR
Easton,2009,NR,"1,261",NR
Easton,2010,NR,"1,287",NR
Easton,2011,NR,"1,282",NR
Easton,2012,NR,"1,280",NR
Easton,2013,NR,"1,273",NR
Easton,2015,NR,"1,237",NR
Eastport,2008,NR,"1,468",NR
Eastport,2010,NR,"1,331",NR
Eddington,2009,NR,"2,219",NR
Edinburg,2009,NR,120,NR
Enfield,2009,NR,"1,623",NR
Etna,2009,NR,"1,168",NR
Exeter,2009,NR,"1,097",NR
Fort Fairfield,2008,NR,"3,455",NR
Fort Fairfield,2009,NR,"3,498",NR
Fort Fairfield,2010,NR,"3,496",NR
Fort Fairfield,2011,NR,"3,474",NR
Fort Fairfield,2012,NR,"3,462",NR
Fort Fairfield,2013,NR,"3,430",NR
Fort Fairfield,2015,NR,"3,364",NR
Fort Kent,2008,NR,"4,186",NR
Fort Kent,2009,NR,"4,158",NR
Fort Kent,2010,NR,"4,097",NR
Fort Kent,2011,NR,"4,067",NR
Fort Kent,2012,NR,"4,022",NR
Fort Kent,2013,NR,"3,997",NR
Fort Kent,2015,NR,"3,961",NR
Frenchboro,2008,NR,48,NR
Frenchville,2008,NR,"1,171",NR
Frenchville,2009,NR,"1,129",NR
Frenchville,2010,NR,"1,087",NR
Frenchville,2011,NR,"1,068",NR
Frenchville,2012,NR,"1,058",NR
Frenchville,2013,NR,"1,044",NR
Frenchville,2015,NR,"1,004",NR
Frye Island,2008,NR,0,NR
Frye Island,2009,NR,3,NR
Frye Island,2010,NR,5,NR
Frye Island,2011,NR,5,NR
Frye Island,2012,NR,5,NR
Frye Island,2013,NR,5,NR
Frye Island,2014,NR,5,NR
Frye Island,2015,NR,5,NR
Frye Island,2016,NR,5,NR
Frye Island,2017,NR,5,NR
Frye Island,2018,NR,5,NR
Garfield Plt,2008,NR,81,NR
Garfield Plt,2009,NR,81,NR
Garfield Plt,2010,NR,81,NR
Garfield Plt,2011,NR,86,NR
Garfield Plt,2012,NR,85,NR
Garfield Plt,2013,NR,83,NR
Garfield Plt,2015,NR,80,NR
Garland,2009,NR,"1,103",NR
Georgetown,2011,NR,"1,040",NR
Glenburn,2009,NR,"4,620",NR
Glenwood Plt,2008,NR,0,NR
Glenwood Plt,2009,NR,2,NR
Glenwood Plt,2010,NR,3,NR
Glenwood Plt,2011,NR,3,NR
Glenwood Plt,2012,NR,3,NR
Glenwood Plt,2013,NR,3,NR
Glenwood Plt,2014,NR,3,NR
Glenwood Plt,2015,NR,3,NR
Glenwood Plt,2016,NR,3,NR
Glenwood Plt,2017,NR,3,NR
Glenwood Plt,2018,NR,3,NR
Grand Isle,2008,NR,459,NR
Grand Isle,2009,NR,467,NR
Grand Isle,2010,NR,467,NR
Grand Isle,2011,NR,457,NR
Grand Isle,2012,NR,455,NR
Grand Isle,2013,NR,450,NR
Grand Isle,2015,NR,435,NR
Grand Lake Stream Plt,2008,NR,130,NR
Grand Lake Stream Plt,2010,NR,109,NR
Great Pond,2008,NR,41,NR
Greenbush,2009,NR,"1,495",NR
Greenville,2008,NR,"1,678",NR
Greenville,2009,NR,"1,672",NR
Greenville,2010,NR,"1,646",NR
Greenville,2011,NR,"1,646",NR
Greenville,2012,NR,"1,630",NR
Greenville,2013,NR,"1,601",NR
Greenville,2014,NR,"1,602",NR
Greenville,2015,NR,"1,577",NR
Guilford,2008,NR,"1,441",NR
Guilford,2009,NR,"1,498",NR
Guilford,2010,NR,"1,521",NR
Guilford,2011,NR,"1,485",NR
Guilford,2012,NR,"1,486",NR
Guilford,2013,NR,"1,480",NR
Guilford,2014,NR,"1,468",NR
Guilford,2015,NR,"1,473",NR
Hamlin,2008,NR,245,NR
Hamlin,2009,NR,231,NR
Hamlin,2010,NR,219,NR
Hamlin,2011,NR,214,NR
Hamlin,2012,NR,216,NR
Hamlin,2013,NR,216,NR
Hamlin,2015,NR,208,NR
Hammond,2008,NR,106,NR
Hammond,2009,NR,114,NR
Hammond,2010,NR,118,NR
Hammond,2011,NR,121,NR
Hammond,2012,NR,120,NR
Hammond,2013,NR,117,NR
Hammond,2015,NR,115,NR
Hampden,2009,NR,"7,196",NR
Harrington,2008,NR,906,NR
Harrington,2010,NR,"1,004",NR
Haynesville,2008,NR,121,NR
Haynesville,2009,NR,122,NR
Haynesville,2010,NR,121,NR
Haynesville,2011,NR,121,NR
Haynesville,2012,NR,116,NR
Haynesville,2013,NR,114,NR
Haynesville,2015,NR,109,NR
Hermon,2009,NR,"5,342",NR
Hersey,2008,NR,64,NR
Hersey,2009,NR,75,NR
Hersey,2010,NR,83,NR
Hersey,2011,NR,84,NR
Hersey,2012,NR,83,NR
Hersey,2013,NR,81,NR
Hersey,2015,NR,81,NR
Hibberts Gore,2008,NR,1,NR
Hibberts Gore,2009,NR,1,NR
Hibberts Gore,2010,NR,1,NR
Hibberts Gore,2011,NR,1,NR
Hibberts Gore,2012,NR,1,NR
Hibberts Gore,2013,NR,1,NR
Hibberts Gore,2014,NR,1,NR
Hibberts Gore,2015,NR,1,NR
Hibberts Gore,2016,NR,1,NR
Hibberts Gore,2017,NR,1,NR
Hibberts Gore,2018,NR,1,NR
Hodgdon,2008,NR,"1,247",NR
Hodgdon,2009,NR,"1,289",NR
Hodgdon,2010,NR,"1,309",NR
Hodgdon,2011,NR,"1,324",NR
Hodgdon,2012,NR,"1,325",NR
Hodgdon,2013,NR,"1,295",NR
Hodgdon,2015,NR,"1,308",NR
Holden,2009,NR,"3,107",NR
Houlton,2008,NR,"6,236",NR
Houlton,2009,NR,"6,206",NR
Houlton,2010,NR,"6,123",NR
Houlton,2011,NR,"6,041",NR
Houlton,2012,NR,"5,941",NR
Houlton,2013,NR,"5,948",NR
Houlton,2015,NR,"5,698",NR
Howland,2009,NR,"1,274",NR
Hudson,2009,NR,"1,595",NR
Indian Island,2009,NR,605,NR
Indian Twp Res,2008,NR,658,NR
Indian Twp Res,2010,NR,718,NR
Island Falls,2008,NR,747,NR
Island Falls,2009,NR,803,NR
Island Falls,2010,NR,837,NR
Island Falls,2011,NR,854,NR
Island Falls,2012,NR,837,NR
Island Falls,2013,NR,816,NR
Island Falls,2015,NR,802,NR
Jonesboro,2008,NR,635,NR
Jonesboro,2010,NR,583,NR
Jonesport,2008,NR,"1,446",NR
Jonesport,2010,NR,"1,370",NR
Kenduskeag,2009,NR,"1,326",NR
Kingman Twp,2009,NR,187,NR
Kingsbury Plt,2008,NR,7,NR
Kingsbury Plt,2009,NR,19,NR
Kingsbury Plt,2010,NR,28,NR
Kingsbury Plt,2011,NR,28,NR
Kingsbury Plt,2012,NR,28,NR
Kingsbury Plt,2013,NR,27,NR
Kingsbury Plt,2014,NR,27,NR
Kingsbury Plt,2015,NR,27,NR
Kingsbury Plt,2016,NR,26,NR
Kingsbury Plt,2017,NR,26,NR
Kingsbury Plt,2018,NR,26,NR
Lagrange,2009,NR,743,NR
Lake View Plt,2008,NR,39,NR
Lake View Plt,2009,NR,69,NR
Lake View Plt,2010,NR,89,NR
Lake View Plt,2011,NR,89,NR
Lake View Plt,2012,NR,88,NR
Lake View Plt,2013,NR,88,NR
Lake View Plt,2014,NR,87,NR
Lake View Plt,2015,NR,87,NR
Lakeville,2009,NR,87,NR
Lee,2009,NR,903,NR
Levant,2009,NR,"2,795",NR
Limestone,2008,NR,"2,350",NR
Limestone,2009,NR,"2,342",NR
Limestone,2010,NR,"2,314",NR
Limestone,2011,NR,"2,310",NR
Limestone,2012,NR,"2,303",NR
Limestone,2013,NR,"2,291",NR
Limestone,2015,NR,"2,236",NR
Lincoln,2009,NR,"5,108",NR
Lincoln Plt,2008,NR,49,NR
Lincoln Plt,2009,NR,48,NR
Lincoln Plt,2010,NR,45,NR
Lincoln Plt,2011,NR,46,NR
Lincoln Plt,2012,NR,44,NR
Lincoln Plt,2013,NR,45,NR
Lincoln Plt,2014,NR,45,NR
Lincoln Plt,2015,NR,44,NR
Lincoln Plt,2016,NR,44,NR
Lincoln Plt,2017,NR,44,NR
Lincoln Plt,2018,NR,44,NR
Linneus,2008,NR,868,NR
Linneus,2009,NR,939,NR
Linneus,2010,NR,984,NR
Linneus,2011,NR,"1,020",NR
Linneus,2012,NR,"1,001",NR
Linneus,2013,NR,983,NR
Linneus,2015,NR,964,NR
Littleton,2008,NR,979,NR
Littleton,2009,NR,"1,036",NR
Littleton,2010,NR,"1,068",NR
Littleton,2011,NR,"1,084",NR
Littleton,2012,NR,"1,073",NR
Littleton,2013,NR,"1,061",NR
Littleton,2015,NR,"1,057",NR
Louds Island,2008,NR,0,NR
Louds Island,2009,NR,0,NR
Louds Island,2010,NR,0,NR
Louds Island,2011,NR,0,NR
Louds Island,2012,NR,0,NR
Louds Island,2013,NR,0,NR
Louds Island,2014,NR,0,NR
Louds Island,2015,NR,0,NR
Louds Island,2016,NR,0,NR
Louds Island,2017,NR,0,NR
Louds Island,2018,NR,0,NR
Lowell,2009,NR,332,NR
Lubec,2008,NR,"1,439",NR
Lubec,2010,NR,"1,359",NR
Ludlow,2008,NR,424,NR
Ludlow,2009,NR,415,NR
Ludlow,2010,NR,404,NR
Ludlow,2011,NR,413,NR
Ludlow,2012,NR,405,NR
Ludlow,2013,NR,397,NR
Ludlow,2015,NR,396,NR
Machias,2008,NR,"2,125",NR
Machias,2010,NR,"2,221",NR
Machiasport,2008,NR,"1,094",NR
Machiasport,2010,NR,"1,119",NR
Macwahoc Plt,2008,NR,85,NR
Macwahoc Plt,2009,NR,82,NR
Macwahoc Plt,2010,NR,79,NR
Macwahoc Plt,2011,NR,80,NR
Macwahoc Plt,2012,NR,79,NR
Macwahoc Plt,2013,NR,78,NR
Macwahoc Plt,2015,NR,76,NR
Madawaska,2008,NR,"4,345",NR
Madawaska,2009,NR,"4,192",NR
Madawaska,2010,NR,"4,035",NR
Madawaska,2011,NR,"3,904",NR
Madawaska,2012,NR,"3,897",NR
Madawaska,2013,NR,"3,875",NR
Madawaska,2015,NR,"3,846",NR
Magalloway Plt,2008,NR,36,NR
Magalloway Plt,2009,NR,42,NR
Magalloway Plt,2010,NR,46,NR
Magalloway Plt,2011,NR,46,NR
Magalloway Plt,2012,NR,45,NR
Magalloway Plt,2013,NR,46,NR
Magalloway Plt,2014,NR,47,NR
Magalloway Plt,2015,NR,46,NR
Magalloway Plt,2016,NR,46,NR
Magalloway Plt,2017,NR,46,NR
Magalloway Plt,2018,NR,46,NR
Mapleton,2008,NR,"1,923",NR
Mapleton,2009,NR,"1,948",NR
Mapleton,2010,NR,"1,948",NR
Mapleton,2011,NR,"1,928",NR
Mapleton,2012,NR,"1,940",NR
Mapleton,2013,NR,"1,921",NR
Mapleton,2015,NR,"1,902",NR
Mars Hill,2008,NR,"1,455",NR
Mars Hill,2009,NR,"1,485",NR
Mars Hill,2010,NR,"1,493",NR
Mars Hill,2011,NR,"1,515",NR
Mars Hill,2012,NR,"1,492",NR
Mars Hill,2013,NR,"1,459",NR
Mars Hill,2015,NR,"1,438",NR
Marshall Island,2008,NR,0,NR
Marshall Island,2009,NR,0,NR
Marshall Island,2010,NR,0,NR
Marshall Island,2011,NR,0,NR
Marshall Island,2012,NR,0,NR
